user,Database,Python,CloudComputing,DataAnalysis,Containers,MachineLearning,ComputerVision,DataScience,BigData,Chatbot,R,BackendDev,FrontendDev,Blockchain
2.0,52.0,14.0,6.0,43.0,3.0,33.0,0.0,29.0,41.0,2.0,18.0,34.0,9.0,6.0
4.0,40.0,2.0,4.0,28.0,0.0,14.0,0.0,20.0,24.0,0.0,6.0,6.0,0.0,2.0
5.0,24.0,8.0,18.0,24.0,0.0,30.0,0.0,22.0,14.0,2.0,14.0,26.0,4.0,6.0
7.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
8.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0
9.0,16.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,14.0,2.0,2.0,0.0,0.0,0.0
12.0,6.0,2.0,0.0,8.0,0.0,4.0,0.0,4.0,6.0,2.0,0.0,2.0,2.0,2.0
16.0,12.0,8.0,0.0,6.0,0.0,8.0,0.0,8.0,12.0,0.0,0.0,3.0,0.0,3.0
17.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0
20.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
21.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
22.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0
23.0,4.0,2.0,0.0,6.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0
25.0,14.0,0.0,2.0,10.0,0.0,2.0,0.0,4.0,12.0,0.0,0.0,6.0,0.0,2.0
26.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0
28.0,18.0,2.0,2.0,14.0,0.0,8.0,0.0,12.0,18.0,0.0,6.0,0.0,0.0,0.0
29.0,2.0,0.0,0.0,2.0,0.0,4.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0
30.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0
33.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
34.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
35.0,4.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
36.0,4.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0
38.0,6.0,0.0,0.0,6.0,0.0,2.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0
39.0,8.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0
40.0,6.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
41.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
42.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.0,6.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
44.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0
45.0,6.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
46.0,8.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
47.0,6.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0
48.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0
49.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
52.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0
53.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
54.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
56.0,6.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
57.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
58.0,4.0,2.0,2.0,2.0,0.0,3.0,0.0,14.0,7.0,0.0,5.0,0.0,0.0,3.0
